"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 24, 2017","296.29999","284.85001","311.85001","280.01999","216.67K","4.02"
"Oct 23, 2017","284.85001","293.54999","293.95999","273.50000","170.70K","-2.96"
"Oct 22, 2017","293.54999","299.23001","305.62000","289.39999","95.45K","-1.90"
"Oct 21, 2017","299.23001","302.60999","303.00000","289.31000","105.32K","-1.12"
"Oct 20, 2017","302.60999","306.97000","313.01001","301.04001","118.80K","-1.42"
"Oct 19, 2017","306.97000","313.45001","316.50000","304.00000","118.04K","-2.07"
"Oct 18, 2017","313.45001","315.64999","316.20999","287.45999","252.92K","-0.70"
"Oct 17, 2017","315.64999","334.45999","334.79999","308.00000","191.86K","-5.62"
"Oct 16, 2017","334.45999","337.23001","355.00000","330.85001","270.07K","-0.82"
"Oct 15, 2017","337.23001","339.23999","344.89001","315.00000","250.08K","-0.59"
"Oct 14, 2017","339.23999","337.45999","348.00000","334.04999","151.02K","0.53"
"Oct 13, 2017","337.45999","303.06000","350.00000","298.00000","383.16K","11.35"
"Oct 12, 2017","303.06000","303.20001","310.01001","302.10001","185.68K","-0.05"
"Oct 11, 2017","303.20001","299.32001","306.54999","296.60001","116.31K","1.30"
"Oct 10, 2017","299.32001","297.39999","307.00000","292.57001","104.64K","0.65"
"Oct 09, 2017","297.39999","309.82001","311.16000","287.03000","180.23K","-4.01"
"Oct 08, 2017","309.82001","311.45999","314.39001","307.54999","103.78K","-0.53"
"Oct 07, 2017","311.45999","308.42999","315.00000","304.50000","117.03K","0.98"
"Oct 06, 2017","308.42999","295.12000","309.59000","293.04001","106.64K","4.51"
"Oct 05, 2017","295.12000","291.39999","297.92001","285.12000","90.80K","1.28"
"Oct 04, 2017","291.39999","291.69000","296.00000","287.56000","112.70K","-0.10"
"Oct 03, 2017","291.69000","296.82001","300.50000","285.92999","129.15K","-1.73"
"Oct 02, 2017","296.82001","304.26001","304.63000","292.10001","133.99K","-2.45"
"Oct 01, 2017","304.26001","303.44000","305.57001","295.00000","110.10K","0.27"
"Sep 30, 2017","303.44000","292.66000","307.76001","292.29999","131.20K","3.68"
"Sep 29, 2017","292.66000","302.63000","303.89999","280.50000","276.12K","-3.29"
"Sep 28, 2017","302.63000","309.75000","310.69000","297.75000","140.29K","-2.30"
"Sep 27, 2017","309.75000","289.28000","315.51001","286.92999","213.82K","7.08"
"Sep 26, 2017","289.28000","295.20001","296.38000","285.20001","104.72K","-2.01"
"Sep 25, 2017","295.20001","282.00000","297.92999","281.79999","186.37K","4.68"
